convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.5445552839209531,0.356258622149611,0.02,23.82,18.190253052732636,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.37071923728059536,0.30822821695854263,0.0,5.22,2.565787463162615,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.40085493926927296,0.31371901570450966,0.0,4.68,1.1856282240712246,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.4525396264204948,0.2857177127154892,0.0,5.04,1.8178255680670705,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.41701113835539116,0.3001466023126186,0.0,4.64,1.241460627565739,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.3909028433140837,0.3022392662345977,0.0,4.24,1.2381684960011685,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.29904902739561395,0.2909055845962076,0.0,4.16,0.9553287712743136,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
Genetic algorithm,0.39988602161374537,0.30776602068825903,0.0,4.78,1.5945058731757111,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.43703559627624483,0.2992348164457004,0.0,4.68,1.1146519544646376,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.4276679268817182,0.2706670136337012,0.0,5.12,1.9020933688106558,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.3529109105448702,0.31099995954965115,0.0,4.68,1.5444436287702374,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.32595082122384467,0.3047337666735833,0.0,4.38,1.412625287923741,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.31892818962340597,0.30387435279254194,0.0,4.46,1.4172407800269609,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
Genetic algorithm,0.3664636740488355,0.2876027906544251,0.0,4.54,1.4315682851691152,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.1
Genetic algorithm,0.4180867524591043,0.3141462355592913,0.0,4.86,1.9167361714697222,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.2
Genetic algorithm,0.4303683766222892,0.2952923948915571,0.0,4.68,1.2525891552447412,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.3
Genetic algorithm,0.36109762247043187,0.2999909885347332,0.0,5.08,1.9042380231944724,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.5
Genetic algorithm,0.3515314520076833,0.31354455698754147,0.0,4.12,0.6272713828600043,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.3761524434393753,0.30621024737879193,0.0,4.26,0.9648939880439018,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.3523909080157603,0.32384503061290204,0.0,4.12,0.47979587496419046,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.40764012055101745,0.3071556416319345,0.02,4.08,0.39589732744431483,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.40453811118502386,0.2917255381869487,0.0,4.12,0.47979587496419046,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.35243120845847586,0.30776504363727086,0.0,4.28,0.8091315576289312,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.29306289502061617,0.30157888776967834,0.0,4.12,0.8241260058203405,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.3481867566821198,0.3376722426510837,0.0,4,0.5345224838248488,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.407065034065912,0.314957299351861,0.0,3.96,0.40203563655629393,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.2891610247503927,0.3312614186126694,0.0,4.32,0.9354688882139942,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.34611140264031115,0.31398404285276343,0.0,4.08,0.39589732744431483,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.3756304537937203,0.2687183809734687,0.0,4.16,0.6809357307321706,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.3198424916022226,0.30638932396539087,0.0,3.98,0.6848208465261076,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.02
Genetic algorithm,0.3349607377062744,0.2963932380786553,0.0,3.88,0.32826072265931594,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.05
Genetic algorithm,0.30767742775895474,0.29892208632893097,0.0,4.2,0.6998542122237652,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.1
Genetic algorithm,0.4178161530403687,0.288207028608304,0.0,4.32,1.0190031142929719,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.2
Genetic algorithm,0.40311768323041886,0.2975482769110632,0.0,4.2,0.7284313590846836,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.3
Genetic algorithm,0.41842838067352744,0.307461269145992,0.0,4.12,0.47979587496419046,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament8_selection at 0x7f5eaa0dd3a0>; mutation=0.5
Genetic algorithm,0.521653380234897,0.4232202699563108,0.04,22.76,18.395385401823813,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.6004106198418483,0.380731329757008,0.02,28.14,19.49045815735673,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.5875544887876014,0.39420485886708084,0.02,34.92,21.014902389708585,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.67103807286974,0.302813809035344,0.0,40.42,18.46241631874145,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.5948690790677794,0.345095689497165,0.02,37.62,20.181715305024525,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.5461370006519498,0.3745181080045771,0.0,35.3,21.734248342659754,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.6685617602654838,0.3296454443521975,0.04,28.78,17.829452817041304,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.6100689653501936,0.3585368129022767,0.02,25.48,17.560670341907308,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.6948608905851837,0.33493268982795477,0.02,37.22,17.985583796190657,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.697739809893388,0.3000427645091736,0.02,42.44,16.758987841435644,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.6136572664454987,0.33854539424422914,0.0,39.44,19.27371055005618,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.6165323780268126,0.3340193581993695,0.0,39.96,19.29360685061563,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.5224243567066565,0.4021304218301008,0.0,23.36,18.1037373523383,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.48528724397802464,0.39125835408845966,0.0,23.62,18.286707562308415,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.7010458297959439,0.33135879004020413,0.02,36.92,18.16796912262943,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.6309683671720658,0.3461990498811318,0.0,38.92,19.4724714111266,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.6142914695696546,0.3555405055996474,0.0,39.14,19.763923017994795,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.5614708562559717,0.3779121956572763,0.0,35.7,21.242285514453265,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.4764066637418992,0.3354039564097502,0.02,11.34,8.097895922234796,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.460172074006149,0.3265302342985404,0.0,9.24,6.762924135101832,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.5883965683818172,0.3708013611758743,0.02,23.98,18.048110308680123,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.7220738354483983,0.2798756405538139,0.0,42.28,16.181420436628507,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.6408386558059292,0.3289722170617799,0.0,38.62,19.633259993164245,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.6667319642845306,0.3201026971634939,0.0,41.16,18.162936020862904,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.4200780407928471,0.34657513233758924,0.0,7.56,5.986924528179928,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.39207890678080803,0.3446847664753058,0.0,6.8,4.9031435147801465,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.5147771739854604,0.3465816594744431,0.0,21.58,17.656692088559627,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.6679601797180594,0.3061039621278198,0.02,37.72,19.08738230521163,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
